ID,Número,UASG,NUP,Descrição,Status,Compromisso,Coordenador,Setor Requisitante,Quick Notes,Conferência Geral,SAL (Prazo),SAL (OK),Envio CJU,Regresso CJU,Publicação (Prazo),Publicação (Efetiva),Publicação (OK),Sessão Pública,Sessão Pública (OK),Homologação (Prev),Homologação (Prazo),Homologação (OK),Assinatura Atas,Vigência Anterior,Prazo GCALC,Última Atualização,Atualizado Por,
tender-90012-2025,90012/2025,160136,,Aqs Ração Canina e Equina,HOMOLOGADO,GCALC,CCOL,9º B Sup,,OK,2025-06-15,Pendente,,,,,OK,,OK,,,OK,,2026-12-01,,2026-02-20T23:01:27.814Z,Admin User,
tender-90013-2025,90013/2025,160136,,Contratação de serviços - PASA,FASE EXTERNA - RECURSOS E JULGAMENTO DE ADMISSIBILIDADE,GCALC,CAF,18º B Trnp,,OK,2025-05-29,Pendente,,,,2025-12-19,OK,2026-01-09,OK,2026-02-07,2026-02-07,Pendente,2026-02-07,2025-08-30,2025-11-20,2026-02-21T00:32:38.108Z,Admin User,
tender-90014-2025,90014/2025,160136,,Aqs Pç Mnt Vtr - AUDATEX,HOMOLOGADO,GCALC,CCOL,9º B Mnt,,OK,2025-05-26,Pendente,,,,2025-12-12,OK,2025-12-29,OK,,,OK,,,2025-10-27,2026-02-20T23:01:33.154Z,Admin User,
tender-90017-2025,90017/2025,160136,,Aqs de material permanente - PASA,HOMOLOGADO,GCALC,CAF,18º B Trnp,,OK,2025-06-05,Pendente,,,,2025-12-12,OK,2025-12-26,OK,,2026-02-07,OK,,2025-10-25,2025-11-30,2026-02-20T23:01:35.865Z,Admin User,
tender-90023-2025,90023/2025,160136,,Aqs de material de consumo - PASA,HOMOLOGADO,GCALC,CAF,18º B Trnp,,OK,2025-06-25,Pendente,,,,2025-12-12,OK,2025-12-26,OK,,,OK,,,2025-11-20,2026-02-20T23:01:38.385Z,Admin User,
tender-90018-2025,90018/2025,160136,,Aqs de material de saúde (medicamentos e odonto) - Classe VIII,FASE EXTERNA - ABERTURA E JULGAMENTO DAS PROPOSTAS,PCA da OM,CCOL,9º B Sup,,OK,2025-08-18,Pendente,,,,2025-12-31,OK,2026-01-26,OK,2026-04-06,2026-02-28,Pendente,,2026-02-10,,2026-02-21T00:33:38.511Z,Admin User,
tender-90021-2025-17,90021/2025,160136,,Aqs QS 1ª Provisão 2026,FASE EXTERNA - PARCIALMENTE HOMOLOGADO,GCALC,CCOL,9º B Sup,,OK,2025-08-15,Pendente,,,,,OK,,OK,,,Pendente,,2026-08-20,,2026-02-20T23:25:03.662Z,Admin User,
tender-90001-2026-18,90001/2026,160136,,Aqs Material Elétrico 2026,FASE INTERNA - IRP,GCALC,CAF,Cmdo 9º Gpt,,OK,2025-12-23,Pendente,2026-02-28,,2026-03-15,2026-03-15,Pendente,2026-04-30,Pendente,2026-06-15,2026-07-01,Pendente,,2026-07-24,,2026-02-20T23:30:17.646Z,Admin User,
tender-001-2025-19,001/2025,160136,65345.002700/2025-40,Leilão (Alienação de Cl IX),FASE INTERNA NA SAL,PCA da OM,CCOL,9º B Mnt,,OK,2025-07-21,Pendente,,,,,Pendente,,Pendente,,,Pendente,,,,2026-02-21T00:34:09.693Z,Admin User,
tender-002-2025-20,002/2025,160136,65345.004465/2025-41,"Leilão (Alienação de Cl VI) ",FASE INTERNA NA OMDS,PCA da OM,CCOL,9º B Mnt,"Este é o leilão futuro de lote que está condicionado ao leioeiro, será ainda posterior ao outro leilão de classe VI que está no final desta relação de pregões",OK,2025-07-21,Pendente,,,2026-01-30,2026-01-30,Pendente,2026-02-15,Pendente,2026-02-28,2025-11-20,Pendente,,,,2026-02-20T23:54:51.284Z,Admin User,
tender-A-definir-21,A definir,160136,65345.000650/2025-66,Aqs de Pçs Mnt de Vtr Bld (Classe IX),FASE INTERNA NA OMDS,PCA da OM,CCOL,9º B Mnt,"(""Pregão de dois mil itens"")",OK,2026-02-28,Pendente,,,,,Pendente,,Pendente,,2025-06-30,Pendente,,,,2026-02-21T00:13:55.037Z,Admin User,
tender-A-definir-22,90023/2024,160136,65345.005212/2024-11,Sv Mnt Vtr Bld (Classe IX),CANCELADO POR ABANDONO,PCA da OM,CCOL,9º B Mnt,Pregão abandonado,OK,2024-11-22,Pendente,,,,,Pendente,,Pendente,,2025-02-28,Pendente,,,,2026-02-21T00:14:38.494Z,Admin User,
tender-A-definir-23,90003/2026,160136,65345.000226/2026-01,Sv de instalação de ponte rolante com cap 20 Ton (Pel Mnt Vtr Bld) ,FASE INTERNA NA SAL,PCA da OM,CCOL,9º B Mnt,,OK,2025-04-30,Pendente,,,,,Pendente,,Pendente,,2025-08-29,Pendente,,,,2026-02-21T00:18:31.921Z,Admin User,
tender-A-definir-24,90004/2026,160136,65345.000226/2026-01,Aqs de cabine de pintura para a Seção de Lanternagem e Pintura 65345.000227/2026-47,FASE INTERNA NA SAL,PCA da OM,CCOL,9º B Mnt,,OK,2025-03-31,Pendente,,,,,Pendente,,Pendente,,2025-07-30,Pendente,,,,2026-02-21T00:17:57.818Z,Admin User,
